model,meta_path,best_val_f1,mean_organ_f1,micro_f1,macro_f1,total_epochs,training_time,final_train_loss,final_val_loss
HAN++,P-O-P,0.7522111991571365,0.6823239002733302,0.9904679376083189,0.7158145562823558,40,647.1520030498505,0.05050701895300802,0.032830484211444855
HGT-HAN,P-O-P,0.7707489047853616,0.745412377702034,0.9900740507326296,0.7649773571770297,40,245.85540008544922,0.03283489558443024,0.029383325949311256
HAN++,P-D-P,0.7285768892400093,0.6521283044522513,0.9886560579801481,0.6828436208102511,40,130.53762793540955,0.052637957892305146,0.0749894306063652
HGT-HAN,P-D-P,0.7260845473170824,0.6788190497676616,0.988183393729321,0.7395475685603983,40,155.9457700252533,0.03565938357339316,0.033191315829753876
HAN++,P-S-P,0.7574136457901998,0.6867283022560583,0.9877107294784938,0.7016582305532963,40,609.7538640499115,0.04480454315607612,0.040780819952487946
HGT-HAN,P-S-P,0.7607507991979413,0.7395660266756212,0.9900740507326296,0.7379529579844469,40,233.66786980628967,0.03056943613557598,0.051991865038871765
